number,partner,compliance,alternative,signature,alternative_other_MLI,comments,iso3c,year,minimum_standard,type,inc_frame_member
85,Slovak Republic,No,NA,No,NA,,CHE,2018,NA,NA,yes
86,Slovenia,No,NA,No,NA,,CHE,2018,NA,NA,yes
87,South Africa,No,NA,Yes,NA,,CHE,2018,NA,NA,yes
88,Spain,No,NA,No,NA,,CHE,2018,NA,NA,yes
89,Sri Lanka,No,NA,No,NA,,CHE,2018,NA,NA,yes
90,Sweden,No,NA,No,NA,,CHE,2018,NA,NA,yes
91,Tajikistan*,No,NA,No,NA,,CHE,2018,NA,NA,no
92,Thailand,No,NA,No,NA,,CHE,2018,NA,NA,yes
93,Trinidad and Tobago,No,NA,No,NA,,CHE,2018,NA,NA,yes
94,Tunisia,No,NA,No,NA,,CHE,2018,NA,NA,yes
95,Turkey,No,NA,Yes,NA,,CHE,2018,NA,NA,yes
96,Turkmenistan*,No,NA,No,NA,,CHE,2018,NA,NA,no
97,Ukraine,No,NA,No,NA,,CHE,2018,NA,NA,yes
98,United Arab Emirates,No,NA,No,NA,,CHE,2018,NA,NA,yes
99,United Kingdom,No,NA,Yes,PPT alone,,CHE,2018,PPT alone,NA,yes
100,United States,No,NA,No,NA,,CHE,2018,NA,NA,yes
101,Uruguay,No,NA,No,NA,,CHE,2018,NA,NA,yes
102,Uzbekistan*,No,NA,No,NA,,CHE,2018,NA,NA,no
103,Venezuela*,No,NA,No,NA,,CHE,2018,NA,NA,no
104,Viet Nam,No,NA,No,NA,,CHE,2018,NA,NA,yes
105,Zambia,No,NA,Yes,PPT alone,,CHE,2018,PPT alone,NA,yes
1,Armenia*,No,NA,No,NA,,THA,2018,NA,NA,no
2,Australia,No,NA,No,NA,,THA,2018,NA,NA,yes
3,Austria,No,NA,No,NA,,THA,2018,NA,NA,yes
4,Bahrain,No,NA,No,NA,,THA,2018,NA,NA,yes
5,Bangladesh*,No,NA,No,NA,,THA,2018,NA,NA,no
6,Belarus*,No,NA,No,NA,,THA,2018,NA,NA,no
7,Belgium,No,NA,No,NA,,THA,2018,NA,NA,yes
8,Bulgaria,No,NA,No,NA,,THA,2018,NA,NA,yes
9,Cambodia*,No,NA,No,NA,,THA,2018,NA,NA,no
10,Canada,No,NA,No,NA,,THA,2018,NA,NA,yes
11,Chile,No,NA,No,NA,,THA,2018,NA,NA,yes
12,China (People's Republic of),No,NA,No,NA,,THA,2018,NA,NA,yes
13,Chinese Taipei*,No,NA,No,NA,,THA,2018,NA,NA,no
14,Cyprus*,No,NA,No,NA,,THA,2018,NA,NA,no
15,Czech Republic,No,NA,No,NA,,THA,2018,NA,NA,yes
16,Denmark,No,NA,No,NA,,THA,2018,NA,NA,yes
17,Estonia,No,NA,No,NA,,THA,2018,NA,NA,yes
18,Finland,No,NA,No,NA,,THA,2018,NA,NA,yes
19,France,No,NA,No,NA,,THA,2018,NA,NA,yes
20,Germany,No,NA,No,NA,,THA,2018,NA,NA,yes
21,Hong Kong (China),No,NA,No,NA,,THA,2018,NA,NA,yes
22,Hungary,No,NA,No,NA,,THA,2018,NA,NA,yes
23,India,No,NA,No,NA,,THA,2018,NA,NA,yes
24,Indonesia,No,NA,No,NA,,THA,2018,NA,NA,yes
25,Ireland,No,NA,No,NA,,THA,2018,NA,NA,yes
26,Israel,No,NA,No,NA,,THA,2018,NA,NA,yes
27,Italy,No,NA,No,NA,,THA,2018,NA,NA,yes
28,Japan,No,NA,No,NA,,THA,2018,NA,NA,yes
29,Korea,No,NA,No,NA,,THA,2018,NA,NA,yes
30,Kuwait*,No,NA,No,NA,,THA,2018,NA,NA,no
31,Lao People’s,No,NA,No,NA,,THA,2018,NA,NA,yes
32,Luxembourg,No,NA,No,NA,,THA,2018,NA,NA,yes
33,Malaysia,No,NA,No,NA,,THA,2018,NA,NA,yes
34,Mauritius,No,NA,No,NA,,THA,2018,NA,NA,yes
35,Myanmar*,No,NA,No,NA,,THA,2018,NA,NA,no
36,Nepal*,No,NA,No,NA,,THA,2018,NA,NA,no
37,Netherlands,No,NA,No,NA,,THA,2018,NA,NA,yes
38,New Zealand,No,NA,No,NA,,THA,2018,NA,NA,yes
39,Norway,No,NA,No,NA,,THA,2018,NA,NA,yes
40,Oman,No,NA,No,NA,,THA,2018,NA,NA,yes
41,Pakistan,No,NA,No,NA,,THA,2018,NA,NA,yes
42,Philippines*,No,NA,No,NA,,THA,2018,NA,NA,no
43,Poland,No,NA,No,NA,,THA,2018,NA,NA,yes
44,Romania,No,NA,No,NA,,THA,2018,NA,NA,yes
45,Russia,No,NA,No,NA,,THA,2018,NA,NA,yes
46,Seychelles,No,NA,No,NA,,THA,2018,NA,NA,yes
47,Singapore,No,NA,No,NA,,THA,2018,NA,NA,yes
48,Slovenia,No,NA,No,NA,,THA,2018,NA,NA,yes
49,South Africa,No,NA,No,NA,,THA,2018,NA,NA,yes
50,Spain,No,NA,No,NA,,THA,2018,NA,NA,yes
51,Sri Lanka,No,NA,No,NA,,THA,2018,NA,NA,yes
52,Sweden,No,NA,No,NA,,THA,2018,NA,NA,yes
53,Switzerland,No,NA,No,NA,,THA,2018,NA,NA,yes
54,Tajikistan*,No,NA,No,NA,,THA,2018,NA,NA,no
55,Turkey,No,NA,No,NA,,THA,2018,NA,NA,yes
56,Ukraine,No,NA,No,NA,,THA,2018,NA,NA,yes
57,United Arab Emirates,No,NA,No,NA,,THA,2018,NA,NA,yes
58,United Kingdom,No,NA,No,NA,,THA,2018,NA,NA,yes
59,United States,No,NA,No,NA,,THA,2018,NA,NA,yes
60,Uzbekistan*,No,NA,No,NA,,THA,2018,NA,NA,no
61,Viet Nam,No,NA,No,NA,,THA,2018,NA,NA,yes
1,Antigua and Barbuda*,No,NA,No,NA,,TTO,2018,NA,NA,no
2,Barbados,No,NA,No,NA,,TTO,2018,NA,NA,yes
3,Belize,No,NA,No,NA,,TTO,2018,NA,NA,yes
4,Brazil,No,NA,No,NA,,TTO,2018,NA,NA,yes
5,Canada,No,NA,No,NA,,TTO,2018,NA,NA,yes
6,China (People's Republic of),No,NA,No,NA,,TTO,2018,NA,NA,yes
7,Denmark,No,NA,No,NA,,TTO,2018,NA,NA,yes
8,Dominica*,No,NA,No,NA,,TTO,2018,NA,NA,no
9,France,No,NA,No,NA,,TTO,2018,NA,NA,yes
10,Germany,No,NA,No,NA,,TTO,2018,NA,NA,yes
11,Grenada*,No,NA,No,NA,,TTO,2018,NA,NA,no
12,Guyana*,No,NA,No,NA,,TTO,2018,NA,NA,no
13,India,No,NA,No,NA,,TTO,2018,NA,NA,yes
14,Italy,No,NA,No,NA,,TTO,2018,NA,NA,yes
15,Jamaica,No,NA,No,NA,,TTO,2018,NA,NA,yes
16,Luxembourg,No,NA,No,NA,,TTO,2018,NA,NA,yes
17,Norway,No,NA,No,NA,,TTO,2018,NA,NA,yes
18,Saint Kitts and Nevis,No,NA,No,NA,,TTO,2018,NA,NA,yes
19,Saint Lucia,No,NA,No,NA,,TTO,2018,NA,NA,yes
20,Saint Vincent and the Grenadines*,No,NA,No,NA,,TTO,2018,NA,NA,no
21,Spain,No,NA,No,NA,,TTO,2018,NA,NA,yes
22,Sweden,No,NA,No,NA,,TTO,2018,NA,NA,yes
23,Switzerland,No,NA,No,NA,,TTO,2018,NA,NA,yes
24,United Kingdom,No,NA,No,NA,,TTO,2018,NA,NA,yes
25,United States,No,NA,No,NA,,TTO,2018,NA,NA,yes
26,Venezuela*,No,NA,No,NA,,TTO,2018,NA,NA,no
1,Algeria*,No,NA,No,NA,,TUN,2018,NA,NA,no
2,Austria,No,NA,No,NA,,TUN,2018,NA,NA,yes
3,Belgium,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
4,Burkina Faso,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
5,Cameroon,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
6,Canada,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
7,China (People's Republic of),No,NA,Yes,NA,,TUN,2018,NA,NA,yes
8,Cote d'Ivoire,No,NA,No,NA,,TUN,2018,NA,NA,yes
9,Czech Republic,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
10,Denmark,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
11,Egypt,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
12,Ethiopia*,No,NA,No,NA,,TUN,2018,NA,NA,no
13,France,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
14,Germany,No,NA,No,NA,,TUN,2018,NA,NA,yes
15,Greece,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
16,Hungary,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
17,Indonesia,No,NA,No,NA,,TUN,2018,NA,NA,yes
18,Iran*,No,NA,No,NA,,TUN,2018,NA,NA,no
19,Italy,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
20,Jordan*,No,NA,No,NA,,TUN,2018,NA,NA,no
21,Korea,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
22,Kuwait*,No,NA,Yes,NA,,TUN,2018,NA,NA,no
23,Lebanon*,No,NA,No,,,TUN,2018,,NA,no
24,Libya*,No,NA,No,NA,,TUN,2018,NA,NA,no
25,Luxembourg,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
26,Mali*,No,NA,No,NA,,TUN,2018,NA,NA,no
27,Malta,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
28,Mauritania*,No,NA,No,NA,,TUN,2018,NA,NA,no
29,Mauritius,No,NA,No,NA,,TUN,2018,NA,NA,yes
30,Morocco*,No,NA,No,NA,,TUN,2018,NA,NA,no
31,Netherlands,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
32,Norway,No,NA,No,NA,,TUN,2018,NA,NA,yes
33,Oman,No,NA,No,NA,,TUN,2018,NA,NA,yes
34,Pakistan,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
35,Poland,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
36,Portugal,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
37,Qatar,No,NA,No,NA,,TUN,2018,NA,NA,yes
38,Romania,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
39,Saudi Arabia,No,NA,No,NA,,TUN,2018,NA,NA,yes
40,Senegal,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
41,Serbia,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
42,Slovak Republic,No,NA,No,NA,,TUN,2018,NA,NA,yes
43,South Africa,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
44,Spain,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
45,Sudan*,No,NA,No,NA,,TUN,2018,NA,NA,no
46,Sweden,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
47,Switzerland,No,NA,No,NA,,TUN,2018,NA,NA,yes
48,Syrian Arab Republic*,No,NA,No,NA,,TUN,2018,NA,NA,no
49,Turkey,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
50,United Arab Emirates,No,NA,No,NA,,TUN,2018,NA,NA,yes
51,United Kingdom,No,NA,Yes,NA,,TUN,2018,NA,NA,yes
52,United States,No,NA,No,NA,,TUN,2018,NA,NA,yes
53,Viet Nam,No,NA,No,NA,,TUN,2018,NA,NA,yes
54,Yemen*,No,NA,No,NA,,TUN,2018,NA,NA,no
55,Algeria*,No,NA,No,NA,,TUN,2018,NA,NA,no
56,Libya*,No,NA,No,NA,,TUN,2018,NA,NA,no
57,Mauritania*,No,NA,No,NA,,TUN,2018,NA,NA,no
58,Morocco*,No,NA,No,NA,,TUN,2018,NA,NA,no
1,Albania*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
2,Algeria*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
3,Australia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
4,Austria,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
5,Azerbaijan*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
6,Bahrain,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
7,Bangladesh*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
8,Belarus*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
9,Belgium,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
10,Bosnia and Herzegovina*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
11,Brazil,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
12,Bulgaria,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
13,Canada,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
14,China (People's Republic of),No,NA,Yes,NA,,TUR,2018,NA,NA,yes
15,Croatia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
16,Czech Republic,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
17,Denmark,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
18,Egypt,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
19,Estonia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
20,Ethiopia*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
21,Finland,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
22,France,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
23,Gambia*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
24,Georgia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
25,Germany,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
26,Greece,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
27,Hungary,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
28,India,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
29,Indonesia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
30,Iran*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
31,Ireland,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
32,Israel,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
33,Italy,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
34,Japan,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
35,Jordan*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
36,Kazakhstan,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
37,Korea,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
38,Kosovo*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
39,Kuwait*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
40,Kyrgyzstan*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
41,Latvia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
42,Lebanon*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
43,Lithuania,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
44,Luxembourg,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
45,Macedonia*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
46,Malaysia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
47,Malta,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
48,Mexico,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
49,Moldova*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
50,Mongolia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
51,Montenegro*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
52,Morocco*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
53,Netherlands,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
54,New Zealand,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
55,Norway,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
56,Oman,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
57,Pakistan,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
58,Philippines*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
59,Poland,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
60,Portugal,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
61,Qatar,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
62,Romania,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
63,Russia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
64,Saudi Arabia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
65,Serbia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
66,Singapore,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
67,Slovak Republic,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
68,Slovenia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
69,South Africa,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
70,Spain,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
71,Sudan*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
72,Sweden,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
73,Switzerland,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
74,Syrian Arab Republic*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
75,Tajikistan*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
76,Thailand,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
77,Tunisia,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
78,Turkish Republic of Northern Cyprus*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
79,Turkmenistan*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
80,Ukraine,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
81,United Arab Emirates,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
82,United Kingdom,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
83,United States,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
84,Uzbekistan*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
85,Viet Nam,No,NA,Yes,NA,,TUR,2018,NA,NA,yes
86,Yemen*,No,NA,Yes,NA,,TUR,2018,NA,NA,no
1,Algeria*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
2,Armenia*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
3,Austria,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
4,Azerbaijan*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
5,Belarus*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
6,Belgium,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
7,Brazil,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
8,Bulgaria,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
9,Canada,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
10,China (People's Republic of),No,NA,Yes,NA,,UKR,2018,NA,NA,yes
11,Croatia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
12,Cuba*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
13,Cyprus*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
14,Czech Republic,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
15,Denmark,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
16,Egypt,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
17,Estonia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
18,Finland,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
19,France,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
20,Georgia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
21,Germany,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
22,Greece,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
23,Hungary,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
24,Iceland,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
25,India,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
26,Indonesia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
27,Iran*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
28,Ireland,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
29,Israel,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
30,Italy,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
31,Japan,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
32,Jordan*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
33,Kazakhstan,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
34,Korea,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
35,Kuwait*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
36,Kyrgyzstan*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
37,Latvia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
38,Lebanon*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
39,Libya*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
40,Lithuania,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
41,Luxembourg,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
42,Macedonia*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
43,Malaysia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
44,Malta,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
45,Mexico,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
46,Moldova*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
47,Mongolia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
48,Montenegro*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
49,Morocco*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
50,Netherlands,No,NA,Yes,PPT Alone,,UKR,2018,PPT Alone,NA,yes
51,Norway,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
52,Pakistan,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
53,Poland,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
54,Portugal,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
55,Romania,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
56,Russia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
57,Saudi Arabia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
58,Serbia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
59,Singapore,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
60,Slovak Republic,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
61,Slovenia,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
62,South Africa,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
63,Spain,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
64,Sweden,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
65,Switzerland,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
66,Syrian Arab Republic*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
67,Tajikistan*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
68,Thailand,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
69,Turkey,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
70,Turkmenistan*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
71,United Arab Emirates,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
72,United Kingdom,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
73,United States,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
74,Uzbekistan*,No,NA,Yes,NA,,UKR,2018,NA,NA,no
75,Viet Nam,No,NA,Yes,NA,,UKR,2018,NA,NA,yes
1,Albania*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
2,Algeria*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
3,Andorra,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
4,Armenia*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
5,Austria,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
6,Azerbaijan*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
7,Bangladesh*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
8,Barbados,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
9,Belarus*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
10,Belgium,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
11,Bosnia and Herzegovina*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
12,Brunei Darussalam,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
13,Bulgaria,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
14,Canada,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
15,China (People's Republic of),No,NA,Yes,NA,,ARE,2018,NA,NA,yes
16,Comoros*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
17,Cyprus*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
18,Czech Republic,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
19,Egypt,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
20,Estonia,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
21,Fiji*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
22,Finland,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
23,France,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
24,Georgia,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
25,Germany,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
26,Greece,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
27,Guinea*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
28,Hong Kong (China),No,NA,Yes,NA,,ARE,2018,NA,NA,yes
29,Hungary,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
30,India,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
31,Indonesia,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
32,Ireland,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
33,Italy,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
34,Japan,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
35,Jersey,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
36,Jordan*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
37,Kazakhstan,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
38,Kenya,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
39,Korea,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
40,Kosovo*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
41,Kyrgyzstan*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
42,Latvia,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
43,Lebanon*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
44,Liechtenstein,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
45,Lithuania,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
46,Luxembourg,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
47,Macedonia*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
48,Malaysia,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
49,Malta,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
50,Mauritius,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
51,Mexico,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
52,Montenegro*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
53,Morocco*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
54,Mozambique*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
55,Netherlands,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
56,New Zealand,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
57,Pakistan,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
58,Panama,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
59,Philippines*,No,NA,Yes,NA,,ARE,2018,NA,NA,no
60,Poland,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
61,Portugal,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
62,Romania,No,NA,Yes,NA,,ARE,2018,NA,NA,yes
