TREATYID,REFERENCE,C1LONG,C2LONG,TYPE,SIGNED,EFFECTIVE,STATUS,C1CODE,C1INCOME,C1REGION,C2CODE,C2INCOME,C2REGION,SOURCE,WHTRATES,PE,OTHER,UN,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,11ii,12i,12ia,12ib,12iv,13i,13ii,14i,16i,21i,25i,27i,29i,paircode,Termination,superseded,ended
6947,NA,France,Uzbekistan,Pre-independence,1985,1988,Terminated,FRA,High income,Europe & Central Asia,UZB,Lower middle income,Europe & Central Asia,0.17,0.25,0.13,0.14,0.13,24,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,15,NA,15,10,0,0,0,0,0,YES,NO,NO,NA,NO,NO,NO,NA,FRA - UZB,2003,NA,2003
6949,NA,Canada,Guyana,Original,1985,1987,In Force,CAN,High income,North America,GUY,Upper middle income,Latin America & Caribbean,0.39,0.69,0.22,0.25,0.31,6,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,15,NA,15,25,25,10,10,10,10,NA,NA,YES,NA,NA,NO,NO,OTHER,CAN - GUY,NA,NA,NA
6950,NA,Bosnia and Herzegovina,Hungary,Pre-independence,1985,1988,In Force,BIH,Upper middle income,Europe & Central Asia,HUN,High income,Europe & Central Asia,0.13,0.25,0,0.13,0.06,24,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,10,NA,10,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,BIH - HUN,NA,NA,NA
6954,NA,Hungary,North Macedonia,Pre-independence,1985,1988,Terminated,HUN,High income,Europe & Central Asia,MKD,Upper middle income,Europe & Central Asia,0.13,0.25,0,0.13,0.06,24,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,10,NA,10,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,HUN - MKD,2002,NA,2002
6955,NA,Canada,India,Original,1985,1987,Terminated,CAN,High income,North America,IND,Lower middle income,South Asia,0.76,0.91,0.73,0.63,0.71,3,YES,NO,NO,NO,YES,NO,YES,YES,NO,NO,15,10,25,15,15,30,30,30,30,YES,YES,YES,NO,YES,NO,NO,NA,CAN - IND,1997,NA,1997
6956,NA,China,Malaysia,Original,1985,1987,Superseded,CHN,Upper middle income,East Asia & Pacific,MYS,Upper middle income,East Asia & Pacific,0.54,0.4,0.47,0.75,0.59,6,YES,6,YES,YES,NO,NO,YES,NO,YES,YES,10,NA,10,10,10,10,15,10,0,YES,YES,YES,NO,YES,NO,NO,NA,CHN - MYS,NA,1999,1999
6957,NA,Denmark,Indonesia,Original,1985,1987,Superseded,DNK,High income,Europe & Central Asia,IDN,Lower middle income,East Asia & Pacific,0.61,0.5,0.97,0.38,0.65,6,YES,3,NO,NO,YES,YES,YES,YES,NO,NO,10,25,20,10,10,15,15,15,0,NO,NO,YES,NO,YES,NO,NO,NA,DNK - IDN,NA,2019,2019
6958,NA,Armenia,Japan,Pre-independence,1986,1987,In Force,ARM,Upper middle income,Europe & Central Asia,JPN,High income,East Asia & Pacific,0.15,0.4,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,10,10,10,0,10,0,NO,NO,NO,NO,NO,NO,NO,NA,ARM - JPN,NA,NA,NA
6959,NA,Azerbaijan,Japan,Pre-independence,1986,1987,Terminated,AZE,Upper middle income,Europe & Central Asia,JPN,High income,East Asia & Pacific,0.15,0.4,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,10,10,10,0,10,0,NO,NO,NO,NO,NO,NO,NO,NA,AZE - JPN,1991,NA,1991
6961,NA,Georgia,Japan,Pre-independence,1986,1987,In Force,GEO,Upper middle income,Europe & Central Asia,JPN,High income,East Asia & Pacific,0.19,0.4,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,10,10,10,0,10,0,YES,YES,NO,NO,NO,NO,NO,NA,GEO - JPN,NA,NA,NA
6963,NA,Japan,Kyrgyz Republic,Pre-independence,1986,1987,In Force,JPN,High income,East Asia & Pacific,KGZ,Lower middle income,Europe & Central Asia,0.19,0.4,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,10,10,10,0,10,0,YES,YES,NO,NO,NO,NO,NO,NA,JPN - KGZ,NA,NA,NA
6964,NA,Japan,Moldova,Pre-independence,1986,1987,In Force,JPN,High income,East Asia & Pacific,MDA,Lower middle income,Europe & Central Asia,0.19,0.4,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,10,10,10,0,10,0,YES,YES,NO,NO,NO,NO,NO,NA,JPN - MDA,NA,NA,NA
6966,NA,Japan,Tajikistan,Pre-independence,1986,1987,In Force,JPN,High income,East Asia & Pacific,TJK,Low income,Europe & Central Asia,0.19,0.4,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,10,10,10,0,10,0,YES,YES,NO,NO,NO,NO,NO,NA,JPN - TJK,NA,NA,NA
6967,NA,Japan,Turkmenistan,Pre-independence,1986,1987,In Force,JPN,High income,East Asia & Pacific,TKM,Upper middle income,Europe & Central Asia,0.15,0.4,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,10,10,10,0,10,0,NO,NO,NO,NO,NO,NO,NO,NA,JPN - TKM,NA,NA,NA
6968,NA,Japan,Ukraine,Pre-independence,1986,1987,Terminated,JPN,High income,East Asia & Pacific,UKR,Lower middle income,Europe & Central Asia,0.19,0.4,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,10,10,10,0,10,0,YES,YES,NO,NO,NO,NO,NO,NA,JPN - UKR,NA,NA,NA
6969,NA,Japan,Uzbekistan,Pre-independence,1986,1987,Terminated,JPN,High income,East Asia & Pacific,UZB,Lower middle income,Europe & Central Asia,0.19,0.4,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,10,10,10,0,10,0,YES,YES,NO,NO,NO,NO,NO,NA,JPN - UZB,2020,NA,2020
6970,NA,Czech Republic,India,Pre-independence,1986,1985,Terminated,CZE,High income,Europe & Central Asia,IND,Lower middle income,South Asia,0.79,0.91,0.59,0.88,0.76,6,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,15,25,25,15,15,30,30,30,30,YES,YES,YES,YES,YES,NO,NO,NA,CZE - IND,1999,NA,1999
6971,NA,India,Slovak Republic,Pre-independence,1986,1985,Superseded,IND,Lower middle income,South Asia,SVK,High income,Europe & Central Asia,0.79,0.91,0.59,0.88,0.76,6,YES,NO,NO,NO,YES,NO,NO,YES,YES,NO,15,25,25,15,15,30,30,30,30,YES,YES,YES,YES,YES,NO,NO,NA,IND - SVK,NA,2018,2018
6973,NA,Gabon,Tunisia,Original,1986,NA,Not In Force,GAB,Upper middle income,Sub-Saharan Africa,TUN,Lower middle income,Middle East & North Africa,0.36,0.5,0.34,0.25,0.29,6,YES,NO,YES,YES,NO,YES,NO,NO,YES,NO,NA,NA,NA,NO LIMIT,NO LIMIT,NO LIMIT,NO LIMIT,NO LIMIT,0,NO,NO,YES,NO,NO,NO,NO,NA,GAB - TUN,NA,NA,NA
6975,NA,China,Norway,Original,1986,1987,In Force,CHN,Upper middle income,East Asia & Pacific,NOR,High income,Europe & Central Asia,0.51,0.44,0.34,0.75,0.53,6,YES,6,YES,YES,NO,NO,NO,NO,YES,NO,15,NA,15,10,10,10,10,10,0,YES,YES,YES,YES,YES,NO,NO,NA,CHN - NOR,NA,NA,NA
6976,NA,Mauritania,Tunisia,Original,1986,2000,In Force,MRT,Lower middle income,Sub-Saharan Africa,TUN,Lower middle income,Middle East & North Africa,0.62,0.75,0.72,0.4,0.57,6,YES,NO,NO,NO,YES,YES,NO,NO,YES,NO,NO LIMIT,NA,NO LIMIT,NO LIMIT,NO LIMIT,NO LIMIT,NO LIMIT,NO LIMIT,0,NA,NA,YES,NA,NO,NO,NO,NA,MRT - TUN,NA,NA,NA
6977,NA,China,Denmark,Original,1986,1987,Terminated,CHN,Upper middle income,East Asia & Pacific,DNK,High income,Europe & Central Asia,0.47,0.36,0.47,0.57,0.5,6,YES,6,YES,YES,NO,NO,YES,NO,YES,NO,10,NA,10,10,10,10,10,7,0,YES,YES,YES,NO,YES,NO,NO,NA,CHN - DNK,2012,NA,2012
6979,NA,China,Singapore,Original,1986,1986,Superseded,CHN,Upper middle income,East Asia & Pacific,SGP,High income,East Asia & Pacific,0.48,0.35,0.47,0.63,0.53,6,YES,6,YES,YES,NO,NO,YES,NO,YES,NO,7,25,12,10,7,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA,CHN - SGP,2007,1990,1990
6980,NA,Bosnia and Herzegovina,Romania,Pre-independence,1986,1988,Terminated,BIH,Upper middle income,Europe & Central Asia,ROU,Upper middle income,Europe & Central Asia,0.14,0.28,0,0.13,0.06,24,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,NA,5,7.5,7.5,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,BIH - ROU,2018,NA,2018
6984,NA,North Macedonia,Romania,Pre-independence,1986,1988,Terminated,MKD,Upper middle income,Europe & Central Asia,ROU,Upper middle income,Europe & Central Asia,0.14,0.28,0,0.13,0.06,24,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,NA,5,7.5,7.5,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,MKD - ROU,2002,NA,2002
6986,NA,Bosnia and Herzegovina,Finland,Pre-independence,1986,1988,Superseded,BIH,Upper middle income,Europe & Central Asia,FIN,High income,Europe & Central Asia,0.15,0.25,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,BIH - FIN,NA,2020,2020
6988,NA,Finland,Kosovo,Pre-independence,1986,1988,In Force,FIN,High income,Europe & Central Asia,UNK,Upper middle income,Europe & Central Asia,0.15,0.25,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,FIN - UNK,NA,NA,NA
6992,NA,Finland,North Macedonia,Pre-independence,1986,1988,Terminated,FIN,High income,Europe & Central Asia,MKD,Upper middle income,Europe & Central Asia,0.15,0.25,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,25,15,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,FIN - MKD,2002,NA,2002
6994,NA,Canada,China,Original,1986,1987,In Force,CAN,High income,North America,CHN,Upper middle income,East Asia & Pacific,0.54,0.41,0.47,0.75,0.59,6,YES,6,YES,YES,NO,NO,YES,NO,YES,NO,10,10,15,10,10,10,10,10,0,YES,YES,YES,YES,YES,NO,NO,NA,CAN - CHN,NA,NA,NA
6995,NA,China,Finland,Original,1986,1988,Terminated,CHN,Upper middle income,East Asia & Pacific,FIN,High income,Europe & Central Asia,0.49,0.36,0.47,0.63,0.53,6,YES,6,YES,YES,NO,NO,YES,NO,YES,NO,10,NA,10,10,10,10,10,7,0,YES,YES,YES,NO,YES,NO,NO,NA,CHN - FIN,2010,NA,2010
6996,NA,China,Sweden,Original,1986,1987,Superseded,CHN,Upper middle income,East Asia & Pacific,SWE,High income,Europe & Central Asia,0.53,0.36,0.47,0.75,0.59,6,YES,6,YES,YES,NO,NO,YES,NO,YES,NO,10,NA,10,10,10,10,10,7,0,YES,YES,YES,YES,YES,NO,NO,NA,CHN - SWE,NA,2000,2000
7000,NA,Brazil,Hungary,Original,1986,1991,In Force,BRA,Upper middle income,Latin America & Caribbean,HUN,High income,Europe & Central Asia,0.45,0.75,0.09,0.5,0.35,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,15,15,15,15,15,15,YES,YES,YES,NO,YES,NO,NO,NA,BRA - HUN,NA,NA,NA
7005,NA,Austria,Indonesia,Original,1986,1989,In Force,AUT,High income,Europe & Central Asia,IDN,Lower middle income,East Asia & Pacific,0.67,0.41,0.97,0.63,0.76,6,YES,3,NO,NO,YES,YES,YES,YES,YES,YES,10,25,15,10,10,10,10,10,0,NO,NO,YES,NO,YES,NO,NO,NA,AUT - IDN,NA,NA,NA
7010,NA,Brazil,Czech Republic,Pre-independence,1986,1991,In Force,BRA,Upper middle income,Latin America & Caribbean,CZE,High income,Europe & Central Asia,0.45,0.75,0.09,0.5,0.35,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,15,15,15,15,15,15,YES,YES,YES,NO,YES,NO,NO,NA,BRA - CZE,NA,NA,NA
7011,NA,Brazil,Slovak Republic,Pre-independence,1986,1991,In Force,BRA,Upper middle income,Latin America & Caribbean,SVK,High income,Europe & Central Asia,0.45,0.75,0.09,0.5,0.35,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,15,15,15,15,15,15,YES,YES,YES,NO,YES,NO,NO,NA,BRA - SVK,NA,NA,NA
7012,NA,Armenia,Switzerland,Pre-independence,1986,1989,Terminated,ARM,Upper middle income,Europe & Central Asia,CHE,High income,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ARM - CHE,1991,NA,1991
7013,NA,Azerbaijan,Switzerland,Pre-independence,1986,1989,Terminated,AZE,Upper middle income,Europe & Central Asia,CHE,High income,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AZE - CHE,1991,NA,1991
7015,NA,Georgia,Switzerland,Pre-independence,1986,1989,Terminated,GEO,Upper middle income,Europe & Central Asia,CHE,High income,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEO - CHE,1991,NA,1991
7017,NA,Kyrgyz Republic,Switzerland,Pre-independence,1986,1989,Terminated,KGZ,Lower middle income,Europe & Central Asia,CHE,High income,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KGZ - CHE,2001,NA,2001
7018,NA,Moldova,Switzerland,Pre-independence,1986,1989,Terminated,MDA,Lower middle income,Europe & Central Asia,CHE,High income,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MDA - CHE,1991,NA,1991
7020,NA,Switzerland,Tajikistan,Pre-independence,1986,1989,Terminated,CHE,High income,Europe & Central Asia,TJK,Low income,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHE - TJK,NA,NA,NA
7021,NA,Switzerland,Turkmenistan,Pre-independence,1986,1989,Terminated,CHE,High income,Europe & Central Asia,TKM,Upper middle income,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHE - TKM,2013,NA,2013
7022,NA,Switzerland,Ukraine,Pre-independence,1986,1989,Terminated,CHE,High income,Europe & Central Asia,UKR,Lower middle income,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHE - UKR,2002,NA,2002
7023,NA,Switzerland,Uzbekistan,Pre-independence,1986,1989,Terminated,CHE,High income,Europe & Central Asia,UZB,Lower middle income,Europe & Central Asia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CHE - UZB,NA,NA,NA
7024,NA,China,New Zealand,Original,1986,1987,Terminated_by_new_treaty,CHN,Upper middle income,East Asia & Pacific,NZL,High income,East Asia & Pacific,0.44,0.44,0.47,0.43,0.44,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,15,NA,15,10,10,10,10,10,0,YES,YES,YES,NO,YES,NO,NO,NA,CHN - NZL,2019,1999,1999
7026,NA,Tunisia,Turkey,Original,1986,1988,In Force,TUN,Lower middle income,Middle East & North Africa,TUR,Upper middle income,Europe & Central Asia,0.21,0.42,0.09,0.13,0.12,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,12,25,15,10,10,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,TUN - TUR,NA,NA,NA
7028,NA,India,New Zealand,Original,1986,1987,Superseded,IND,Lower middle income,South Asia,NZL,High income,East Asia & Pacific,0.72,0.94,0.59,0.63,0.65,6,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,20,NA,20,15,15,30,30,30,30,YES,YES,YES,NO,YES,NO,NO,NA,IND - NZL,NA,1996,1996
7029,NA,Armenia,Denmark,Pre-independence,1986,1988,Terminated,ARM,Upper middle income,Europe & Central Asia,DNK,High income,Europe & Central Asia,0.15,0.19,0.25,0,0.13,24,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NA,NO,NO,NO,NA,ARM - DNK,1991,NA,1991
7030,NA,Azerbaijan,Denmark,Pre-independence,1986,1988,Terminated,AZE,Upper middle income,Europe & Central Asia,DNK,High income,Europe & Central Asia,0.15,0.19,0.25,0,0.13,24,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NA,NO,NO,NO,NA,AZE - DNK,1991,NA,1991
7032,NA,Denmark,Georgia,Pre-independence,1986,1988,Terminated,DNK,High income,Europe & Central Asia,GEO,Upper middle income,Europe & Central Asia,0.15,0.19,0.25,0,0.13,24,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NA,NO,NO,NO,NA,DNK - GEO,2008,NA,2008
7034,NA,Denmark,Kyrgyz Republic,Pre-independence,1986,1988,Terminated,DNK,High income,Europe & Central Asia,KGZ,Lower middle income,Europe & Central Asia,0.15,0.19,0.25,0,0.14,24,NO,NO,NO,NO,NO,NO,NO,NA,NA,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NA,NO,NO,NO,NA,DNK - KGZ,NA,NA,NA
7035,NA,Denmark,Moldova,Pre-independence,1986,1988,Terminated,DNK,High income,Europe & Central Asia,MDA,Lower middle income,Europe & Central Asia,0.15,0.19,0.25,0,0.14,24,NO,NO,NO,NO,NO,NO,NO,NA,NA,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NA,NO,NO,NO,NA,DNK - MDA,2002,NA,2002
7037,NA,Denmark,Tajikistan,Pre-independence,1986,1988,Terminated,DNK,High income,Europe & Central Asia,TJK,Low income,Europe & Central Asia,0.15,0.19,0.25,0,0.14,24,NO,NO,NO,NO,NO,NO,NO,NA,NA,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NA,NO,NO,NO,NA,DNK - TJK,NA,NA,NA
7038,NA,Denmark,Turkmenistan,Pre-independence,1986,1988,Terminated,DNK,High income,Europe & Central Asia,TKM,Upper middle income,Europe & Central Asia,0.15,0.19,0.25,0,0.13,24,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NA,NO,NO,NO,NA,DNK - TKM,1999,NA,1999
7039,NA,Denmark,Ukraine,Pre-independence,1986,1988,Terminated,DNK,High income,Europe & Central Asia,UKR,Lower middle income,Europe & Central Asia,0.15,0.19,0.25,0,0.14,24,NO,NO,NO,NO,NO,NO,NO,NA,NA,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NA,NO,NO,NO,NA,DNK - UKR,1996,NA,1996
7040,NA,Denmark,Uzbekistan,Pre-independence,1986,1988,Terminated,DNK,High income,Europe & Central Asia,UZB,Lower middle income,Europe & Central Asia,0.15,0.19,0.25,0,0.14,24,NO,NO,NO,NO,NO,NO,NO,NA,NA,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NA,NO,NO,NO,NA,DNK - UZB,2002,NA,2002
7043,NA,China,Thailand,Original,1986,1987,In Force,CHN,Upper middle income,East Asia & Pacific,THA,Upper middle income,East Asia & Pacific,0.74,0.53,0.97,0.71,0.81,6,YES,6,NO,NO,YES,YES,YES,NO,NO,YES,15,25,20,10,10,15,15,15,0,YES,YES,YES,YES,YES,NO,NO,NA,CHN - THA,NA,NA,NA
7044,NA,Hungary,India,Original,1986,1988,Terminated,HUN,High income,Europe & Central Asia,IND,Lower middle income,South Asia,0.75,0.91,0.72,0.63,0.71,6,YES,NO,NO,NO,YES,NO,YES,YES,YES,NO,15,10,NO LIMIT,15,15,40,40,40,20,YES,NO,YES,NO,YES,NO,NO,NA,HUN - IND,2005,NA,2005
7045,NA,China,Italy,Original,1986,1991,In Force,CHN,Upper middle income,East Asia & Pacific,ITA,High income,Europe & Central Asia,0.44,0.36,0.47,0.5,0.47,6,YES,6,YES,YES,NO,NO,YES,NO,NO,NO,10,NA,10,10,10,10,10,7,0,YES,YES,YES,NO,YES,NO,NO,NA,CHN - ITA,NA,NA,NA
7046,NA,Armenia,Netherlands,Pre-independence,1986,1988,Terminated,ARM,Upper middle income,Europe & Central Asia,NLD,High income,Europe & Central Asia,0.08,0.19,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA,ARM - NLD,1991,NA,1991
7047,NA,Azerbaijan,Netherlands,Pre-independence,1986,1988,Terminated,AZE,Upper middle income,Europe & Central Asia,NLD,High income,Europe & Central Asia,0.08,0.19,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA,AZE - NLD,1991,NA,1991
7049,NA,Georgia,Netherlands,Pre-independence,1986,1988,Terminated,GEO,Upper middle income,Europe & Central Asia,NLD,High income,Europe & Central Asia,0.08,0.19,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA,GEO - NLD,1991,NA,1991
7051,NA,Kyrgyz Republic,Netherlands,Pre-independence,1986,1988,Terminated,KGZ,Lower middle income,Europe & Central Asia,NLD,High income,Europe & Central Asia,0.08,0.19,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA,KGZ - NLD,2009,NA,2009
7052,NA,Moldova,Netherlands,Pre-independence,1986,1988,Terminated,MDA,Lower middle income,Europe & Central Asia,NLD,High income,Europe & Central Asia,0.08,0.19,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA,MDA - NLD,1991,NA,1991
7054,NA,Netherlands,Tajikistan,Pre-independence,1986,1988,In Force,NLD,High income,Europe & Central Asia,TJK,Low income,Europe & Central Asia,0.08,0.19,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA,NLD - TJK,2020,NA,2020
7055,NA,Netherlands,Turkmenistan,Pre-independence,1986,1988,Terminated,NLD,High income,Europe & Central Asia,TKM,Upper middle income,Europe & Central Asia,0.08,0.19,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA,NLD - TKM,1999,NA,1999
7056,NA,Netherlands,Ukraine,Pre-independence,1986,1988,Terminated,NLD,High income,Europe & Central Asia,UKR,Lower middle income,Europe & Central Asia,0.08,0.19,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA,NLD - UKR,1996,NA,1996
7057,NA,Netherlands,Uzbekistan,Pre-independence,1986,1988,Terminated,NLD,High income,Europe & Central Asia,UZB,Lower middle income,Europe & Central Asia,0.08,0.19,0.06,0,0,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,15,NA,15,0,0,0,0,0,0,NO,NO,NO,NO,NO,NO,NO,NA,NLD - UZB,NA,NA,NA
7058,NA,India,Norway,Original,1986,1987,Terminated,IND,Lower middle income,South Asia,NOR,High income,Europe & Central Asia,0.92,0.91,0.86,1,0.94,3,YES,6,NO,NO,YES,NO,YES,YES,YES,YES,15,25,25,15,15,20,20,20,20,YES,YES,YES,YES,YES,NO,YES,NA,IND - NOR,2011,NA,2011
7060,NA,India,Romania,Original,1987,1988,Terminated,IND,Lower middle income,South Asia,ROU,Upper middle income,Europe & Central Asia,0.83,0.91,0.72,0.88,0.82,6,YES,NO,NO,NO,YES,NO,YES,YES,YES,YES,15,25,20,15,15,22.5,22.5,22.5,22.5,YES,NO,YES,YES,YES,NO,YES,NA,IND - ROU,2013,NA,2013
7062,NA,Indonesia,New Zealand,Original,1987,1989,Superseded,IDN,Lower middle income,East Asia & Pacific,NZL,High income,East Asia & Pacific,0.57,0.5,0.84,0.38,0.59,6,YES,3,NO,NO,YES,NO,YES,YES,NO,NO,15,NA,15,10,10,15,15,15,0,NO,NO,YES,NO,YES,NO,NO,NA,IDN - NZL,NA,2019,2019
7063,NA,Bosnia and Herzegovina,Germany,Pre-independence,1987,1989,In Force,BIH,Upper middle income,Europe & Central Asia,DEU,High income,Europe & Central Asia,0.1,0.13,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NA,NA,NA,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,BIH - DEU,NA,NA,NA
7065,NA,Germany,Kosovo,Pre-independence,1987,1989,In Force,DEU,High income,Europe & Central Asia,UNK,Upper middle income,Europe & Central Asia,0.1,0.13,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NA,NA,NA,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,DEU - UNK,NA,NA,NA
7070,NA,Germany,North Macedonia,Pre-independence,1987,1989,Terminated,DEU,High income,Europe & Central Asia,MKD,Upper middle income,Europe & Central Asia,0.1,0.13,0.06,0.13,0.06,12,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NA,NA,NA,0,0,10,10,10,0,NO,NO,YES,NO,NO,NO,NO,NA,DEU - MKD,2010,NA,2010
7073,NA,Philippines,Sweden,Original,1987,1990,Terminated,PHL,Lower middle income,East Asia & Pacific,SWE,High income,Europe & Central Asia,0.7,0.64,0.72,0.75,0.71,6,YES,6,YES,YES,YES,YES,YES,YES,YES,YES,15,10,25,15,15,25,15,25,0,YES,NO,YES,NO,YES,NO,NO,NA,PHL - SWE,2003,NA,2003
