part,name,text,iso3c,phase
Part C,Appropriate use,-,PER,2019
Part A,Domestic legal and administrative framework,-,POL,2019
Part B,Exchange of information framework,-,POL,2019
Part C,Appropriate use,-,POL,2019
Part A,Domestic legal and administrative framework,-,PRT,2019
Part B,Exchange of information framework,-,PRT,2019
Part C,Appropriate use,-,PRT,2019
Part A,Domestic legal and administrative,-,QAT,2019
Part B,Exchange of information,It is recommended that Qatar take steps to implement processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework ahead of the first exchanges of information.,QAT,2019
Part C,Appropriate use,-,QAT,2019
Part A,Domestic legal and administrative,It is recommended that Romania take steps to align its local filing implementation with that required by the Action 13 minimum standard.,ROU,2019
Part B,Exchange of information framework,It is recommended that Romania take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,ROU,2019
Part C,Appropriate use,It is recommended that Romania take steps to ensure that the appropriate use condition is met as soon as possible.,ROU,2019
Part A,Domestic legal and administrative,It is recommended that Russia amend its legislation or otherwise take steps to ensure that local filing is only required in the circumstances contained in the terms of reference.,RUS,2019
Part A,Domestic legal and administrative,It is recommended that Russia amends its legislation or otherwise take steps to ensure that enforcement provisions and monitoring relating to the CbCR’s effective implementation are provided for as contained in the terms of reference as from the first reporting period.,RUS,2019
Part B,Exchange of information,-,RUS,2019
Part C,Appropriate use,-,RUS,2019
Part A,Domestic legal and administrative,It is recommended that Saint Lucia take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,LCA,2019
Part B,Exchange of information,"It is recommended that Saint Lucia take steps have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which they have an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",LCA,2019
Part B,Exchange of information,It is recommended that Saint Lucia take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,LCA,2019
Part C,Appropriate use,It is recommended that Saint Lucia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,LCA,2019
Part A,Domestic legal and administrative,-,SMR,2019
Part B,Exchange of information,-,SMR,2019
Part C,Appropriate use,-,SMR,2019
Part A,Domestic legal and administrative,It is recommended that Saudi Arabia take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,SAU,2019
Part B,Exchange of information,"It is recommended that Saudi Arabia take steps have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Saudi Arabia has an international exchange of information agreement in effect that allows for the automatic exchange of tax information",SAU,2019
Part B,Exchange of information,It is recommended that Saudi Arabia take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework,SAU,2019
Part C,Appropriate use,It is recommended that Saudi Arabia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,SAU,2019
Part A,Domestic legal and administrative,"It is recommended that Senegal finalise its domestic legal and administrative framework as soon as possible. Specifically, it is recommended that Senegal: - introduce or complete the definitions of an “Ultimate Parent Entity”, “MNE Group”, “Group” and “Constituent Entity” in a manner that is consistent with the terms of reference; - publish the content and format of a CbC report; - amend or otherwise clarify the annual consolidated revenue threshold calculation rule in respect of MNE Groups whose Ultimate Parent Entity is located in a jurisdiction other than Senegal which may deviate from the guidance issued by the OECD; - amend the conditions for local filing or otherwise take steps to ensure that local filing can only be required in the circumstances contained in the terms of reference; - have enforcement measures in place in case of incomplete or erroneous filing.",SEN,2019
Part B,Exchange of information,"It is recommended that Senegal take steps to have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Senegal has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",SEN,2019
Part B,Exchange of information,It is recommended that Senegal have in place the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,SEN,2019
Part C,Appropriate use,It is recommended that Senegal take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,SEN,2019
Part A,Domestic legal and administrative,It is recommended that Serbia take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,SRB,2019
Part B,Exchange of information,"It is recommended that Serbia take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which it has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",SRB,2019
Part B,Exchange of information,It is recommended that Serbia take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,SRB,2019
Part C,Appropriate use,It is recommended that Serbia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,SRB,2019
Part A,Domestic legal and,-,SYC,2019
Part B,Exchange of information,"It is recommended that the Seychelles take steps to have qualifying competent authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which the Seychelles has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",SYC,2019
Part B,Exchange of information,It is recommended that the Seychelles take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,SYC,2019
Part C,Appropriate use,It is recommended that the Seychelles take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. NA 1 https://www.src.gov.sc/resources/SI/2019/SI25of2019.pdf. 2 See sections 37(1) of the Amendment. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,SYC,2019
Part A,Domestic legal and administrative,It is recommended that Sierra Leone take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,SLE,2019
Part B,Exchange of information,"It is recommended that Sierra Leone take steps to have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Sierra Leone has an international exchange of information agreement in effect that allows for the automatic exchange of tax information",SLE,2019
Part B,Exchange of information,It is recommended that Sierra Leone take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,SLE,2019
Part C,Appropriate use,It is recommended that Sierra Leone take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,SLE,2019
Part A,Domestic legal and administrative framework,-,SGP,2019
Part B,Exchange of information framework,-,SGP,2019
Part C,Appropriate use,-,SGP,2019
Part A,Domestic legal and administrative framework,-,SVK,2019
Part B,Exchange of information framework,-,SVK,2019
Part C,Appropriate use,-,SVK,2019
Part A,Domestic legal and administrative framework,-,SVN,2019
Part B,Exchange of information framework,-,SVN,2019
Part C,Appropriate use,-,SVN,2019
Part A,Domestic legal and administrative framework,-,ZAF,2019
Part B,Exchange of information framework,-,ZAF,2019
Part C,Appropriate use,-,ZAF,2019
Part A,Domestic legal and administrative,"It is recommended that Spain amend its legislation or otherwise clarify that the annual consolidated group revenue threshold calculation applies in a manner consistent with the OECD guidance on currency fluctuations in respect of an MNE Group whose Ultimate Parent Entity is located in a jurisdiction other than Spain, when local filing requirements are applicable.",ESP,2019
Part A,Domestic legal and administrative,It is recommended that Spain amend its legislation or otherwise clarify the definition of a Constituent Entity to be included in a CbC report in a manner consistent with the terms of reference.,ESP,2019
Part A,Domestic legal and administrative,It is recommended that Spain amend its legislation or otherwise clarify that local filing is only required in the circumstances contained in the terms of reference.,ESP,2019
Part B,Exchange of information,-,ESP,2019
Part C,Appropriate use,-,ESP,2019
Part A,Domestic legal and administrative,It is thus recommended that Sri Lanka amend or otherwise clarify the annual consolidated group revenue threshold calculation rule applies in a manner consistent with the OECD guidance on currency fluctuations in respect of an MNE Group whose Ultimate Parent entity is located in a jurisdiction other than Sri Lanka.,LKA,2019
Part A,Domestic legal and administrative,IT is recommended that Sri Lanka take steps to change its legislation or issue guidance to suspend local filing until they have met the conditions on appropriate use.,LKA,2019
Part B,Exchange of information,"It is recommended that Sri Lanka take steps to sign the CbC MCAA and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which it has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",LKA,2019
Part B,Exchange of information,It is recommended that Sri Lanka take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,LKA,2019
Part C,Appropriate use,It is recommended that Sri Lanka take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,LKA,2019
Part A,Domestic legal and administrative framework,-,SWE,2019
Part B,Exchange of information framework,-,SWE,2019
Part C,Appropriate use,-,SWE,2019
Part A,Domestic legal and administrative framework,-,CHE,2019
Part B,Exchange of information framework,-,CHE,2019
Part C,Appropriate use,-,CHE,2019
Part A,Domestic legal and administrative,It is recommended that Thailand take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,THA,2019
Part B,Exchange of information,"It is recommended that Thailand take steps to have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Thailand has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",THA,2019
Part B,Exchange of information,It is recommended that Thailand take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,THA,2019
Part C,Appropriate use,It is recommended that Thailand take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,THA,2019
Part A,Domestic legal and administrative,It is recommended that Trinidad and Tobago take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,TTO,2019
Part B,Exchange of information,"It is recommended that Trinidad and Tobago take steps to put QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which it has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",TTO,2019
Part B,Exchange of information,It is recommended that Trinidad and Tobago take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,TTO,2019
Part C,Appropriate use,It is recommended that Trinidad and Tobago take steps to ensure that the appropriate use condition is met ahead of its first exchanges of information. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,TTO,2019
Part A,Domestic legal and administrative,"It is recommended that Tunisia introduce or complete the definitions of a “ “Group”, “MNE Group”, ”Constituent Entity”, “Consolidated Financial Statements”, “Fiscal Year”, “Reporting Fiscal Year”, “Qualifying Competent Authority Agreement” and “International Agreement” in a manner that is consistent with the terms of reference;",TUN,2019
Part A,Domestic legal and administrative,It is recommended that Tunisia take steps to ensure that the annual consolidated group revenue threshold calculation rule is applied in a manner consistent with the OECD guidance on currency fluctuations;,TUN,2019
Part A,Domestic legal and administrative,It is recommended that Tunisia amend the conditions for local filing or otherwise take steps to ensure that local filing can only be required in the circumstances contained in the terms of reference,TUN,2019
Part A,Domestic legal and administrative,It is recommended that Tunisia implement a provision whereby a single Constituent Entity of the same MNE Group may be designated to file the CbC report which would satisfy the local filing requirement of all the Constituent Entities in Tunisia.,TUN,2019
Part B,Exchange of information,"It is recommended that Tunisia take steps to have qualifying competent authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which Tunisia has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",TUN,2019
Part B,Exchange of information,It is recommended that Tunisia take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,TUN,2019
Part C,Appropriate use,It is recommended that Tunisia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,TUN,2019
Part A,Domestic legal and administrative,It is recommended that Turkey take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,TUR,2019
Part A,Domestic legal and administrative,It is recommended that Turkey and the conditions for local filing or otherwise take steps to ensure that the CbC reporting local filing obligations will only apply in the circumstances contained in the terms of reference.,TUR,2019
Part B,Exchange of information,"It is recommended that Turkey take steps to have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisite and with which Turkey has an international exchange of information agreement in effect that allows for the automatic exchange of tax information s.",TUR,2019
Part B,Exchange of information,It is recommended that Turkey take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,TUR,2019
Part C,Appropriate use,It is recommended that Turkey take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,TUR,2019
Part A,Domestic legal and administrative,-,TCA,2019
Part B,Exchange of information,It is recommended that TCI take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,TCA,2019
Part C,Appropriate use,-,TCA,2019
Part A,Domestic legal and administrative,It is recommended that Ukraine take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,UKR,2019
Part B,Exchange of information,"It is recommended that Ukraine take steps to sign the CbC MCAA and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which it has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",UKR,2019
Part B,Exchange of information,It is recommended that Ukraine take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,UKR,2019
Part C,Appropriate use,It is recommended that Ukraine take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,UKR,2019
Part A,Domestic legal and administrative,It is recommended that UAE take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,ARE,2019
Part B,Exchange of information,"It is recommended that UAE take steps to put QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites. and with which UAE has an international exchange of information agreement in effect that allows for the automatic exchange of tax information",ARE,2019
Part B,Exchange of information,It is recommended that UAE take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,ARE,2019
Part C,Appropriate use,-,ARE,2019
Part A,Domestic legal and administrative,-,GBR,2019
Part B,Exchange of information,-,GBR,2019
Part C,Appropriate use,-,GBR,2019
Part A,Domestic legal and administrative,"It is recommended that the United States ensure that the definition of “consolidated group revenue” for the purposes of applying the threshold is consistent with the definition in the Action 13 minimum standard, as further clarified by OECD guidance; and that the definition of “revenue” for the purposes of completing Table 1 is consistent with the definition in the Action 13 minimum standard, as further clarified by OECD guidance.",USA,2019
Part B,Exchange of information,"The United States competent authority should continue to work actively towards signing bilateral competent authority arrangements with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which the United States has an agreement in effect that allows for the automatic exchange of information",USA,2019
Part C,Appropriate use,-,USA,2019
Part A,Domestic legal and administrative,It is recommended that Uruguay amend the conditions for local filing or otherwise take steps to ensure that local filing can only be required in the circumstances contained in the terms of reference.,URY,2019
Part B,Exchange of information,-,URY,2019
Part C,Appropriate use,-,URY,2019
Part A,Domestic legal and administrative,It is recommended that Viet Nam take steps to amend its legislation or otherwise issue detailed definitions and requirements to bring it in line with the Action 13 minimum standard,VNM,2019
Part A,Domestic legal and administrative,It is recommended that Viet Nam take steps to amend its legislation or otherwise clarify that local filing in Viet Nam is only required in line with the minimum standard for Action13,VNM,2019
Part A,Domestic legal and administrative,It is recommended that Viet Nam amend its legislation or otherwise take steps to ensure that enforcement provisions relating to the CbCR’s effective implementation are provided for as required by the terms of reference as soon as possible.,VNM,2019
Part B,Exchange of information,"It is recommended that Viet Nam take steps to have qualifying competent authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which Viet Nam has an international exchange of information agreement in effect that allows for the automatic exchange of tax information",VNM,2019
Part B,Exchange of information,It is recommended that Viet Nam take steps to implement processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework ahead of the first exchanges of information.,VNM,2019
Part C,Appropriate use,It is recommended that Viet Nam take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. NA,VNM,2019
Part A,Domestic legal and administrative,It is recommended that Zambia take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,ZMB,2019
Part B,Exchange of information,"It is recommended that Zambia take steps to have qualifying competent authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which Zambia has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",ZMB,2019
Part B,Exchange of information,It is recommended that Zambia take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,ZMB,2019
Part C,Appropriate use,It is recommended that Zambia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information. COUNTRY-BY-COUNTRY REPORTING – COMPILATION OF PEER REVIEW REPORTS (PHASE 2) © OECD 2019,ZMB,2019
Part A,Domestic legal and administrative framework,-,AND,2020
Part B,Exchange of information framework,It is recommended that Andorra take steps to implement processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework ahead of its first exchanges of information.,AND,2020
Part C,Appropriate use,It is recommended that Andorra take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,AND,2020
Part A,Domestic legal and administrative,It is recommended that Angola take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,AGO,2020
Part B,Exchange of information,"It is recommended that Angola take steps to have qualifying competent authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which Angola has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",AGO,2020
Part B,Exchange of information,It is recommended that Angola take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,AGO,2020
Part C,Appropriate use,It is recommended that Angola take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,AGO,2020
Part A,Domestic legal and administrative,-,AIA,2020
Part B,Exchange of information,-,AIA,2020
Part C,Appropriate use,-,AIA,2020
Part A,Domestic legal and administrative,It is recommended that Antigua and Barbuda take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,ATG,2020
Part B,Exchange of information,"It is recommended that Antigua and Barbuda take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Antigua and Barbuda has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",ATG,2020
Part B,Exchange of information,It is recommended that Antigua and Barbuda take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,ATG,2020
Part C,Appropriate use,It is recommended that Antigua and Barbuda take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,ATG,2020
Part A,Domestic legal and administrative framework,-,ARG,2020
Part B,Exchange of information framework,-,ARG,2020
Part C,Appropriate use,-,ARG,2020
Part A,Domestic legal and administrative,It is recommended that Armenia take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,ARM,2020
Part B,Exchange of information,"It is recommended that Armenia take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Armenia has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",ARM,2020
Part B,Exchange of information,It is recommended that Armenia take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,ARM,2020
Part C,Appropriate use,It is recommended that Armenia take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,ARM,2020
Part A,Domestic legal and administrative,It is recommended that Aruba take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,ABW,2020
Part B,Exchange of information,"It is recommended that Aruba take steps to have qualifying competent authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which Aruba has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",ABW,2020
Part B,Exchange of information,It is recommended that Aruba take steps to implement processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework ahead of its first exchanges of information.,ABW,2020
Part C,Appropriate use,It is recommended that Aruba take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,ABW,2020
Part A,Domestic legal and administrative framework,-,AUS,2020
Part B,Exchange of information framework,-,AUS,2020
Part C,Appropriate use,-,AUS,2020
Part A,Domestic legal and administrative,-,AUT,2020
Part B,Exchange of information,-,AUT,2020
Part C,Appropriate Use,-,AUT,2020
Part A,Domestic legal and,-,BHS,2020
Part B,Exchange of information,It is recommended that the Bahamas take steps to implement processes or written procedures to ensure that the exchange of information in conducted in a manner consistent with the terms of reference relating to the exchange of information framework ahead of its first exchanges of information.,BHS,2020
Part C,Appropriate use,-,BHS,2020
Part A,Domestic legal and administrative,It is recommended that Bahrain take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,BHR,2020
Part B,Exchange of information,"It is recommended that Bahrain take steps to have qualifying competent authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which Bahrain has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",BHR,2020
Part B,Exchange of information,It is recommended that Bahrain take steps to implement processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,BHR,2020
Part C,Appropriate use,-,BHR,2020
Part A,Domestic legal and administrative,It is recommended that Barbados take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,BRB,2020
Part B,Exchange of information,"It is recommended that Barbados take steps to have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Barbados has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",BRB,2020
Part B,Exchange of information,It is recommended that Barbados take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,BRB,2020
Part C,Appropriate use,It is recommended that Barbados take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,BRB,2020
Part A,Domestic legal and administrative framework,-,BEL,2020
Part B,Exchange of information framework,-,BEL,2020
Part C,Appropriate use,-,BEL,2020
Part A,Domestic legal and administrative,-,BLZ,2020
Part B,Exchange of information framework,"It is recommended that Belize take steps to have qualifying competent authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which Belize has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",BLZ,2020
Part B,Exchange of information framework,It is recommended that Belize take steps to implement processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework ahead of its first exchanges of information.,BLZ,2020
Part C,Appropriate use,It is recommended that Belize take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,BLZ,2020
Part A,Domestic legal and administrative,It is recommended that Benin take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,BEN,2020
Part B,Exchange of information,"It is recommended that Benin take steps to have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Benin has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",BEN,2020
Part B,Exchange of information,It is recommended that Benin take steps to implement processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework ahead of its first exchanges of information.,BEN,2020
Part C,Appropriate use,It is recommended that Benin take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,BEN,2020
Part A,Domestic legal and administrative framework,-,BMU,2020
Part B,Exchange of information framework,-,BMU,2020
Part C,Appropriate use,-,BMU,2020
Part A,Domestic legal and administrative,It is recommended that Bosnia and Herzegovina take steps to ensure that the filing requirement for CbC applies equally to all relevant entities with no exemptions. It is recommended that Bosnia and Herzegovina take steps to amend legislation or otherwise clarify that the threshold requirement timing applies in line with the standard. It is recommended that Bosnia and Herzegovina take steps to amend legislation or otherwise ensure that the filing deadline is not more than 12 months from the end of the reporting fiscal year. It is recommended that Bosnia and Herzegovina take steps to implement procedures to ensure compliance with their filing requirement. .,BIH,2020
Part B,Exchange of information,"It is recommended that Bosnia and Herzegovina take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Bosnia and Herzegovina has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",BIH,2020
Part B,Exchange of information,It is recommended that Bosnia and Herzegovina take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,BIH,2020
Part C,Appropriate use,It is recommended that Bosnia and Herzegovina take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,BIH,2020
Part A,Domestic legal and administrative,It is recommended that Botswana take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible.,BWA,2020
Part B,Exchange of information,"It is recommended that Botswana take steps to put in place an exchange of information framework that allows Automatic Exchange of Information and have QCAAs in effect with jurisdictions of the Inclusive Framework which meet the confidentiality, consistency and appropriate use prerequisites and with which Botswana has an international exchange of information agreement in effect that allows for the automatic exchange of tax information.",BWA,2020
Part B,Exchange of information,It is recommended that Botswana take steps to implement the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,BWA,2020
Part C,Appropriate use,It is recommended that Botswana take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,BWA,2020
Part A,Domestic legal and administrative framework,-,BRA,2020
Part B,Exchange of information framework,-,BRA,2020
Part C,Appropriate use,-,BRA,2020
Part A,Domestic legal and administrative,-,VGB,2020
Part B,Exchange of information,It is recommended that the British Virgin Islands take steps to implement processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework ahead of the first exchanges of information.,VGB,2020
Part C,Appropriate use,-,VGB,2020
Part A,Domestic legal and administrative,"It is recommended that Brunei Darussalam take steps to implement a domestic legal and administrative framework to impose and enforce CbC requirements as soon as possible, taking into account its particular domestic legislative process.",BRN,2020
Part B,Exchange of information,"It is recommended that Brunei Darussalam take steps to have qualifying competent authority agreements in effect with jurisdictions of the Inclusive Framework that meet the confidentiality, consistency and appropriate use conditions and with which Brunei Darussalam has an international exchange of information agreement in effect that allows for the automatic exchange of tax information",BRN,2020
Part B,Exchange of information,It is recommended that Brunei Darussalam have in place the necessary processes or written procedures to ensure that the exchange of information is conducted in a manner consistent with the terms of reference relating to the exchange of information framework.,BRN,2020
Part C,Appropriate use,It is recommended that Brunei Darussalam take steps to ensure that the appropriate use condition is met ahead of the first exchanges of information.,BRN,2020
Part A,Domestic legal and administrative framework,It is recommended that Bulgaria take steps to align its local filing implementation with that required by the Action 13 minimum standard,BGR,2020
Part B,Exchange of information framework,-,BGR,2020
Part C,Appropriate use,-,BGR,2020
